I0322 20:46:56.613434       1 feature_gate.go:190] feature gates: map[ExperimentalCriticalPodAnnotation:true]
I0322 20:46:56.665260       1 flags.go:27] FLAG: --address=""
I0322 20:46:56.665278       1 flags.go:27] FLAG: --algorithm-provider=""
I0322 20:46:56.665285       1 flags.go:27] FLAG: --alsologtostderr="false"
I0322 20:46:56.665309       1 flags.go:27] FLAG: --config=""
I0322 20:46:56.665316       1 flags.go:27] FLAG: --contention-profiling="false"
I0322 20:46:56.665324       1 flags.go:27] FLAG: --failure-domains="kubernetes.io/hostname,failure-domain.beta.kubernetes.io/zone,failure-domain.beta.kubernetes.io/region"
I0322 20:46:56.665333       1 flags.go:27] FLAG: --feature-gates="ExperimentalCriticalPodAnnotation=true"
I0322 20:46:56.665348       1 flags.go:27] FLAG: --hard-pod-affinity-symmetric-weight="1"
I0322 20:46:56.665358       1 flags.go:27] FLAG: --help="false"
I0322 20:46:56.665364       1 flags.go:27] FLAG: --kube-api-burst="100"
I0322 20:46:56.665383       1 flags.go:27] FLAG: --kube-api-content-type="application/vnd.kubernetes.protobuf"
I0322 20:46:56.665391       1 flags.go:27] FLAG: --kube-api-qps="50"
I0322 20:46:56.665402       1 flags.go:27] FLAG: --kubeconfig="/etc/srv/kubernetes/kube-scheduler/kubeconfig"
I0322 20:46:56.665409       1 flags.go:27] FLAG: --leader-elect="true"
I0322 20:46:56.665415       1 flags.go:27] FLAG: --leader-elect-lease-duration="15s"
I0322 20:46:56.665424       1 flags.go:27] FLAG: --leader-elect-renew-deadline="10s"
I0322 20:46:56.665430       1 flags.go:27] FLAG: --leader-elect-resource-lock="endpoints"
I0322 20:46:56.665437       1 flags.go:27] FLAG: --leader-elect-retry-period="2s"
I0322 20:46:56.665443       1 flags.go:27] FLAG: --lock-object-name="kube-scheduler"
I0322 20:46:56.665461       1 flags.go:27] FLAG: --lock-object-namespace="kube-system"
I0322 20:46:56.665468       1 flags.go:27] FLAG: --log-backtrace-at=":0"
I0322 20:46:56.665476       1 flags.go:27] FLAG: --log-dir=""
I0322 20:46:56.665483       1 flags.go:27] FLAG: --log-flush-frequency="5s"
I0322 20:46:56.665489       1 flags.go:27] FLAG: --logtostderr="true"
I0322 20:46:56.665495       1 flags.go:27] FLAG: --master=""
I0322 20:46:56.665501       1 flags.go:27] FLAG: --policy-config-file=""
I0322 20:46:56.665512       1 flags.go:27] FLAG: --policy-configmap=""
I0322 20:46:56.665519       1 flags.go:27] FLAG: --policy-configmap-namespace=""
I0322 20:46:56.665525       1 flags.go:27] FLAG: --port="10251"
I0322 20:46:56.665543       1 flags.go:27] FLAG: --profiling="false"
I0322 20:46:56.665550       1 flags.go:27] FLAG: --scheduler-name="default-scheduler"
I0322 20:46:56.665556       1 flags.go:27] FLAG: --stderrthreshold="2"
I0322 20:46:56.665562       1 flags.go:27] FLAG: --use-legacy-policy-config="false"
I0322 20:46:56.665569       1 flags.go:27] FLAG: --v="2"
I0322 20:46:56.665575       1 flags.go:27] FLAG: --version="false"
I0322 20:46:56.665584       1 flags.go:27] FLAG: --vmodule=""
W0322 20:46:56.665602       1 server.go:163] WARNING: all flags other than --config are deprecated. Please begin using a config file ASAP.
I0322 20:46:56.718297       1 server.go:555] Version: v1.11.0-alpha.0.1586+52ed0368f8d076-dirty
